action_type	layer_element_description	layer_id	element_id	adjusted_percentage	
Weed Treatments	Timber Suitability___Suited for Timber Production	layer3	S	0.0	
Weed Treatments	Resource Condition Zone___Lynx habitat - conserve watershed	layer4	L	0.0	
Weed Treatments	Resource Condition Zone___Lynx habitat - restore watershed	layer4	H	0.0	
Weed Treatments	Resource Condition Zone___Non-Lynx habitat - conserve watershed	layer4	C	0.0	
Weed Treatments	Resource Condition Zone___Non-Lynx habitat - restore watershed	layer4	R	0.0	
Weed Treatments	Vegetation Cover Type___WDI or DIP where the indicator tree species is Ponderosa Pine	layer5	P	0.0	
Weed Treatments	Vegetation Cover Type___WDT or DTD where the indicator tree species is Dry Douglas-fir/Grand Fir	layer5	D	0.0	
Weed Treatments	Vegetation Cover Type___MI or MIW where the indicator tree species is Mesic Douglas-fir mix	layer5	W	0.0	
Weed Treatments	Vegetation Cover Type___MT or MTC where the indicator tree species is Grand Fir/Western Red Cedar	layer5	C	0.0	
Weed Treatments	Vegetation Cover Type___SI or SII where the indicator tree species is Cold Douglas-fir mix	layer5	I	0.0	
Weed Treatments	Vegetation Cover Type___ST or STA where the indicator tree species is Subalpine Fir mix	layer5	A	0.0	
Weed Treatments	Vegetation Cover Type___LP or LPP where the indicator tree species is Lodgepole Pine	layer5	L	0.0	
Weed Treatments	Vegetation Cover Type___NS NonStocked	layer5	N	0.0	
